years,world (mt),avg_growth rate,world population,avg_wp_growth rate,use per capita,per capita_rate,urban proportion,est_urban population,gdp (us billions),manufacturing_proportion gdp,manufacturing gdp (us billions),motor vehicle_production units,mv_ production rate,fabricated_ metal products,motor_vehicles_millions,motorcycles_millions,bicycles_millions,ships_millions,aircraft_units,commercial_fleet_size,electricity (TWh),appliance_sales
1950,189,,2499092000,,13.22270899,,0.30,749727600.00,1300.00,28%,364.00,10577426,,0.09,8,0.5,11,3.5,500,1000,950,20
1955,270,7.4%,2746072000,1.9%,10.17063704,-23%,0.32,878743040.00,1970.00,28%,551.60,13630000,29%,0.09,11,1.2,12,5,1000,2000,1500,35
1960,347,5.1%,3015470894,1.9%,8.69011785,-15%,0.34,1025260103.96,3000.00,28%,840.00,16488340,21%,0.1,12.8,3,13,8,1500,3000,2300,60
1965,456,5.6%,3330000000,2.0%,7.302631579,-16%,0.36,1198800000.00,3500.00,27%,945.00,24270000,47%,0.1,19,6,15,12,2000,4000,3500,90
1970,595,5.5%,3680587906,2.0%,6.185862027,-15%,0.37,1361817525.22,6000.00,27%,1620.00,29419484,21%,0.11,29.4,10,20,20,2500,5000,5000,130
1975,644,1.6%,4070000000,2.0%,6.319875776,2%,0.38,1546600000.00,6033.00,26%,1568.58,35000000,19%,0.11,33,12,25,25,3000,6000,6500,170
1980,717,2.2%,4453831714,1.8%,6.211759713,-2%,0.39,1736994368.46,11450.00,26%,2977.00,38564516,10%,0.11,38.6,15,62,18,4000,7000,8500,220
1985,719,0.1%,4850000000,1.7%,6.745479833,9%,0.41,1988500000.00,13014.00,25%,3253.50,45000000,17%,0.1,44.9,18,76,15,5500,8500,10500,280
1990,770,1.4%,5278639789,1.7%,6.855376349,2%,0.43,2269815109.27,22987.00,24%,5516.88,48553969,8%,0.1,48.6,22,92,12,7000,10500,12000,350
1995,753,-0.4%,5700000000,1.5%,7.569721116,10%,0.45,2565000000.00,30890.00,23%,7104.70,50046000,3%,0.09,49.9,25,103,15,9000,13000,14000,400
2000,850,2.5%,6082966429,1.3%,7.156431093,-5%,0.47,2858994221.63,33620.00,22%,7396.40,58374162,17%,0.09,58.4,28,95,30,11000,16500,16500,450
2005,1148,6.2%,6500000000,1.3%,5.662020906,-21%,0.49,3185000000.00,47530.00,21%,9981.30,58000000,-1%,0.09,66.5,35,105,40,13500,19000,19000,500
2010,1435,4.6%,6956823603,1.4%,4.847960699,-14%,0.52,3617548273.56,66130.00,19%,12564.70,58264852,0%,0.08,77.6,45,120,50,16000,22000,22000,550
2011,1540,7.3%,7000000000,0.6%,4.545454545,-6%,0.52,3640000000.00,68000.00,19%,12920.00,60000000,3%,0.08,80.1,47,122,52,16500,22500,22500,555
2012,1563,1.5%,7100000000,1.4%,4.542546385,0%,0.53,3763000000.00,70000.00,19%,13300.00,62000000,3%,0.08,84.1,49,125,55,17000,23000,23000,560
2013,1654,5.8%,7200000000,1.4%,4.353083434,-4%,0.53,3816000000.00,72000.00,18%,12960.00,65000000,5%,0.08,87.3,51,128,58,17500,23500,23500,565
2014,1676,1.3%,7300000000,1.4%,4.355608592,0%,0.53,3869000000.00,75000.00,18%,13500.00,68000000,5%,0.08,89.7,52,130,60,18000,24000,24000,570
2015,1626,-3.0%,7400000000,1.4%,4.55104551,4%,0.54,3996000000.00,78000.00,18%,14040.00,70000000,3%,0.08,90.8,53,132,62,18500,24500,24500,575
2016,1634,0.5%,7500000000,1.4%,4.58996328,1%,0.54,4050000000.00,81000.00,17%,13770.00,72000000,3%,0.08,94.5,54,135,65,19000,25000,25000,580
2017,1738,6.4%,7645617954,1.9%,4.399089732,-4%,0.55,4205089874.70,85000.00,17%,14450.00,75000000,4%,0.08,97.3,55,138,68,19500,25500,25500,585
2018,1831,5.4%,7729902781,1.1%,4.22168366,-4%,0.55,4251446529.55,85763.00,17%,14579.71,78000000,4%,0.08,95.6,56,140,70,20000,26000,26000,590
2019,1879,2.6%,7811293698,1.1%,4.157154709,-2%,0.56,4374324470.88,97848.00,17%,16634.16,81000000,4%,0.08,91.8,57,142,72,20500,26500,26500,595
2020,1883,0.2%,7887001292,1.0%,4.188529629,1%,0.56,4416720723.52,100000.00,17%,17000.00,78000000,-4%,0.08,77.6,52,130,60,15000,27000,26000,550
2021,1963,4.2%,7954448391,0.9%,4.052189705,-3%,0.57,4534035582.87,103867.00,16%,16618.72,80000000,3%,0.08,80.1,55,135,65,18000,27500,27000,560
2022,1889,-3.8%,8021407192,0.8%,4.24637755,5%,0.57,4572202099.44,110751.00,16%,17720.16,82000000,3%,0.08,85.4,58,143,68,20000,28000,28000,570
2023,1904,0.8%,8091734930,0.9%,4.249860783,0%,0.58,4693206259.40,111326.00,16%,17812.16,85000000,4%,0.08,93.5,60,145,70,21500,28500,29000,580
2024,1885,-1.0%,8161972572,0.9%,4.329958924,2%,0.58,4733944091.76,117000.00,15%,17550.00,92000000,8%,0.08,95,62,148,72,22000,29000,30000,590
