date,steel prices,steel shortage,steel demand,iron ore,construction boom,infrastructure spending,auto production,electric vehicle,shipbuilding,wind turbine,cement prices,steel tariffs,blast furnace,steel mill,rebar prices
2004-01-01,38,0,0,68,0,0,78,21,84,39,0,20,42,66,0
2004-02-01,58,54,0,83,78,0,69,23,100,41,59,15,37,66,0
2004-03-01,100,100,0,82,100,0,100,27,100,44,0,13,36,72,0
2004-04-01,80,76,100,73,79,0,54,32,84,42,69,9,32,70,0
2004-05-01,63,0,68,66,79,0,50,31,82,44,100,7,37,63,0
2004-06-01,56,0,0,56,0,0,50,24,83,43,65,9,28,62,0
2004-07-01,51,0,95,64,0,0,44,27,84,36,83,0,21,63,0
2004-08-01,52,0,51,60,76,0,56,35,83,36,91,5,20,69,0
2004-09-01,41,0,62,74,0,0,49,20,77,40,63,8,35,64,0
2004-10-01,46,0,50,67,0,0,56,25,73,37,50,6,37,65,0
2004-11-01,40,0,0,63,0,0,71,21,83,43,59,6,38,54,0
2004-12-01,41,26,71,60,84,0,61,17,67,35,29,6,29,54,0
2005-01-01,39,0,51,65,0,0,50,15,80,36,57,0,32,58,0
2005-02-01,40,0,50,84,0,0,48,16,90,40,60,0,33,59,0
2005-03-01,39,0,61,74,78,0,61,22,77,42,52,7,31,56,0
2005-04-01,45,0,80,73,64,0,54,25,75,42,65,5,27,69,0
2005-05-01,39,0,47,72,0,0,78,21,68,42,57,4,30,51,0
2005-06-01,40,0,39,62,52,0,52,17,77,39,62,0,29,54,0
2005-07-01,31,0,53,58,53,0,48,21,70,37,70,0,18,51,0
2005-08-01,34,0,33,57,0,0,58,29,71,38,61,0,22,54,0
2005-09-01,32,0,75,56,0,0,45,35,64,40,64,0,29,54,0
2005-10-01,27,0,31,60,39,0,54,21,67,47,49,3,31,52,0
2005-11-01,30,0,42,63,57,0,55,19,64,53,52,4,32,58,0
2005-12-01,26,0,29,53,75,0,43,16,55,36,52,4,21,55,0
2006-01-01,28,0,31,54,36,0,61,14,62,42,40,3,28,58,0
2006-02-01,30,0,27,55,35,0,55,17,63,48,31,0,25,55,100
2006-03-01,28,0,39,71,44,37,43,15,64,61,73,0,32,58,0
2006-04-01,29,0,28,57,45,0,62,23,57,57,79,4,25,57,0
2006-05-01,30,0,34,62,43,0,39,25,63,56,64,2,25,51,0
2006-06-01,28,0,58,53,0,0,38,20,58,49,58,0,18,55,0
2006-07-01,27,0,36,50,63,0,37,26,58,44,59,0,15,48,0
2006-08-01,28,0,44,49,50,0,32,23,56,45,50,0,15,51,0
2006-09-01,27,0,27,47,52,0,33,20,56,50,56,0,24,51,0
2006-10-01,26,0,26,46,61,0,49,18,58,61,41,2,23,48,0
2006-11-01,25,0,31,47,46,26,40,16,51,52,43,0,24,47,0
2006-12-01,22,0,26,37,37,0,41,17,46,41,44,3,19,45,0
2007-01-01,24,0,17,39,45,24,41,18,51,52,34,0,19,48,0
2007-02-01,25,0,0,48,60,0,40,19,51,50,51,0,23,46,0
2007-03-01,26,0,39,57,37,0,41,20,52,56,56,0,21,48,0
2007-04-01,27,0,28,45,50,0,31,23,49,50,64,2,19,47,0
2007-05-01,26,0,24,52,37,0,37,24,50,60,57,2,19,51,92
2007-06-01,25,0,32,50,55,22,32,22,52,47,59,0,17,49,0
2007-07-01,24,0,42,56,43,0,23,22,54,47,73,0,14,48,63
2007-08-01,23,0,28,51,30,35,34,19,51,49,58,0,16,44,0
2007-09-01,22,0,36,56,60,17,35,18,44,47,58,0,22,44,0
2007-10-01,23,0,36,62,48,39,35,20,58,49,53,1,24,45,0
2007-11-01,23,0,31,65,44,27,38,22,51,61,49,0,20,46,44
2007-12-01,21,0,23,54,37,27,35,21,42,53,40,0,17,41,0
2008-01-01,27,0,30,59,38,27,43,20,52,56,51,0,20,48,0
2008-02-01,30,0,39,72,30,34,37,19,45,61,48,0,18,46,0
2008-03-01,35,0,33,67,50,14,38,22,46,60,77,1,18,45,47
2008-04-01,40,0,45,63,35,27,40,30,46,70,67,0,18,50,98
2008-05-01,39,0,43,70,44,29,37,39,49,73,65,1,17,50,57
2008-06-01,35,0,36,71,49,18,37,45,46,78,57,0,16,46,75
2008-07-01,36,0,47,67,38,26,38,38,48,86,58,0,14,47,52
2008-08-01,35,0,44,69,39,27,38,27,47,70,57,0,14,46,51
2008-09-01,38,0,48,68,29,19,31,22,44,69,43,0,20,43,76
2008-10-01,49,0,44,68,32,38,31,21,45,80,55,0,20,44,98
2008-11-01,44,0,47,61,32,49,48,19,44,71,60,1,20,40,52
2008-12-01,33,0,35,51,38,67,48,17,40,58,59,0,14,36,66
2009-01-01,31,0,28,50,24,61,39,17,41,100,52,0,17,40,54
2009-02-01,32,0,35,58,28,79,47,20,43,85,58,1,17,45,58
2009-03-01,30,0,36,56,28,61,37,21,41,94,64,1,18,39,65
2009-04-01,29,0,28,51,31,44,37,21,39,85,55,2,16,39,67
2009-05-01,29,0,23,53,28,34,37,19,40,82,60,0,16,37,68
2009-06-01,29,0,27,54,38,33,30,18,40,72,51,1,13,38,77
2009-07-01,28,0,32,80,28,35,35,18,42,66,49,0,15,40,66
2009-08-01,31,0,28,61,25,37,33,21,40,64,56,0,14,41,66
2009-09-01,29,0,33,54,30,30,28,22,43,69,54,1,18,40,52
2009-10-01,30,4,37,57,27,32,30,22,41,80,48,1,17,41,51
2009-11-01,29,0,29,55,33,27,33,21,40,77,49,1,19,36,39
2009-12-01,27,0,31,49,19,22,30,21,35,68,52,0,15,36,47
2010-01-01,31,0,23,56,28,19,40,18,40,67,46,0,15,42,70
2010-02-01,32,0,22,57,31,22,34,19,37,76,58,0,17,45,51
2010-03-01,35,0,29,73,31,29,28,19,43,71,63,1,17,42,66
2010-04-01,39,0,29,72,34,30,31,19,42,73,63,1,16,40,84
2010-05-01,35,0,34,64,33,27,29,18,38,70,66,1,15,39,76
2010-06-01,32,0,25,60,36,18,24,19,39,57,49,1,14,37,62
2010-07-01,30,0,24,62,28,23,22,19,40,54,58,0,14,40,63
2010-08-01,28,0,30,60,26,28,28,17,38,54,58,0,13,41,50
2010-09-01,27,0,26,56,26,32,27,17,36,58,57,1,15,36,61
2010-10-01,26,0,30,58,27,38,26,17,37,63,53,1,17,39,56
2010-11-01,26,0,29,56,23,39,29,18,37,62,41,1,16,39,41
2010-12-01,23,0,21,49,25,24,26,15,32,52,38,0,13,36,42
2011-01-01,30,3,24,64,29,28,30,18,32,57,48,0,15,39,33
2011-02-01,31,0,27,65,30,24,26,19,35,60,49,0,15,40,54
2011-03-01,30,0,22,70,29,34,33,18,37,65,56,0,15,40,56
2011-04-01,30,0,22,64,29,29,35,20,37,66,57,0,14,37,52
2011-05-01,28,0,22,65,27,18,28,18,34,60,57,0,14,36,49
2011-06-01,27,0,22,63,31,17,29,17,37,55,48,0,13,37,64
2011-07-01,26,0,19,61,22,21,27,16,35,51,52,0,12,37,65
2011-08-01,29,0,20,67,26,28,25,17,36,48,54,0,13,37,37
2011-09-01,26,0,32,63,21,34,26,17,35,53,48,0,16,35,62
2011-10-01,26,0,25,59,31,25,25,17,51,59,48,1,18,97,39
2011-11-01,25,0,28,91,35,36,25,17,37,57,43,1,17,100,40
2011-12-01,23,0,25,71,29,17,22,14,30,60,38,0,12,86,24
2012-01-01,24,2,36,66,28,19,28,15,37,51,39,0,14,86,43
2012-02-01,25,0,30,67,29,23,28,17,34,57,46,0,15,66,43
2012-03-01,24,0,24,64,37,19,27,18,34,58,48,0,20,58,32
2012-04-01,24,0,25,58,29,25,25,18,34,59,53,0,22,54,39
2012-05-01,23,0,24,67,24,23,26,17,33,55,52,0,20,58,52
2012-06-01,26,0,26,62,34,24,26,18,34,46,44,0,22,70,42
2012-07-01,24,0,25,66,30,21,23,15,31,47,48,0,20,67,44
2012-08-01,24,0,22,79,30,25,23,15,30,46,43,0,19,69,43
2012-09-01,23,2,25,96,32,37,27,17,31,51,49,0,22,58,46
2012-10-01,22,0,30,77,36,31,25,16,35,55,41,1,21,53,43
2012-11-01,21,0,25,62,35,29,25,15,30,55,37,0,24,46,42
2012-12-01,19,2,22,58,28,22,20,12,26,41,32,1,26,50,37
2013-01-01,19,1,23,70,28,24,24,14,30,46,38,0,31,53,35
2013-02-01,21,2,28,66,35,32,25,14,33,50,39,0,31,46,42
2013-03-01,21,2,26,70,36,30,25,16,33,49,41,0,29,46,36
2013-04-01,21,0,26,66,35,26,23,16,33,53,41,0,25,47,43
2013-05-01,19,2,21,64,31,28,22,16,29,48,47,0,26,46,55
2013-06-01,23,1,30,65,32,30,23,15,28,41,44,0,27,49,52
2013-07-01,20,3,26,62,30,25,22,15,30,38,43,0,22,50,34
2013-08-01,20,0,26,63,29,17,20,15,28,36,39,0,20,48,37
2013-09-01,20,0,41,60,32,21,28,16,30,41,39,0,20,48,44
2013-10-01,18,0,46,62,32,23,21,16,29,48,35,0,19,47,34
2013-11-01,19,0,57,57,31,26,22,16,33,48,34,0,23,60,29
2013-12-01,16,0,22,57,30,21,20,14,26,41,27,0,19,56,31
2014-01-01,19,1,25,61,37,17,25,14,29,42,34,0,21,50,28
2014-02-01,18,2,24,65,33,26,26,16,29,48,35,0,21,49,32
2014-03-01,17,2,24,65,39,24,23,17,30,49,42,0,23,47,42
2014-04-01,18,2,25,60,39,23,23,15,30,46,43,0,20,48,45
2014-05-01,20,1,22,68,32,23,22,15,28,47,44,0,20,48,43
2014-06-01,18,2,17,69,33,20,19,15,27,39,43,0,19,41,45
2014-07-01,17,0,17,63,33,21,22,16,28,35,41,1,17,44,46
2014-08-01,17,2,19,60,31,17,23,16,28,34,39,0,17,45,41
2014-09-01,17,2,23,76,35,20,24,16,28,37,40,0,19,44,44
2014-10-01,18,1,27,69,38,29,25,16,29,43,35,1,19,43,43
2014-11-01,17,0,22,71,44,26,22,15,26,42,39,0,20,43,33
2014-12-01,16,1,19,66,34,18,22,13,23,38,33,1,18,43,23
2015-01-01,18,0,18,62,40,22,22,14,27,41,35,0,21,50,38
2015-02-01,19,2,22,62,32,29,24,17,28,42,40,0,36,43,40
2015-03-01,18,0,24,69,37,27,24,15,27,44,40,1,32,40,35
2015-04-01,20,0,24,85,43,26,22,17,27,43,42,0,29,41,47
2015-05-01,18,1,21,70,39,33,20,15,26,44,42,1,26,41,41
2015-06-01,21,0,19,63,35,19,22,14,25,38,44,0,22,43,33
2015-07-01,19,0,18,71,39,21,20,15,29,34,40,0,18,44,37
